message_id,date,edited_date,rom_name,rom_version,android_version,build_type,download_links,image_path,changelog,bugs,notes,maintainer,raw_text
3,2023-04-08T12:38:00,2023-04-08T12:44:10,PixelExperience,,12L,"Unofficial, Official",https://sourceforge.net/projects/camellia-builds/files/Release/,photos/photo_1@08-04-2023_12-38-00.jpg,,,,@rio113,"#PEPlus #Unofficial #ROM #Camellia #Camellian #S #OSS 
PixelExperience Plus - UNOFFICIAL | Android 12L
Released: 08/04/2023
Kernel Source: Prebuilt

▪️ Download
▪️ XDA
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ Fixed lags in some cases
▪️ Fixed internet issues in some cases

Bugs:
▪️ Screenshot can't be taken properly using volume buttons

Notes:
• Flash from PE Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
8,2023-04-09T17:14:26,2023-04-14T13:30:04,CrDroid,,12L,"Unofficial, Official",https://sourceforge.net/projects/crdroid-camellia/files/12.1/,photos/photo_2@09-04-2023_17-14-26.jpg,,,,@NoobDev6833,"#CrDroid #Unofficial #S #ROM #Camellia #OSS
CrDroidv8.14- UNOFFICIAL | Android 12L
Updated: 09/04/'23

▪️Download
▪️XDA thread
▪️Support
▪️Donate
▪️Flashing Steps

Changelog:
• Fixed Adaptive Refresh Rate

Bugs:
• You tell me

Notes:
• Flash with CrDroid Recovery

Special thanks
@Sushrut1101
@Rio113 for device tree
Testers

By @NoobDev6833
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
9,2023-04-14T23:06:55,2023-04-15T00:01:17,CrDroid,,12L,"Unofficial, Official",https://sourceforge.net/projects/crdroid-camellia/files/12.1/,photos/photo_3@14-04-2023_23-06-55.jpg,,,,@NoobDev6833,"#CrDroid #Unofficial #S #ROM #Camellia #OSS
CrDroidv8.14- UNOFFICIAL | Android 12L
Updated: 14/04/'23

▪️Download
▪️XDA thread
▪️Support
▪️Donate
▪️Flashing Steps

Changelog:
• Adjusted call audio

Bugs:
• You tell me

Notes:
• Flash with CrDroid Recovery

Special thanks
@Rio113 for device tree
Testers

By @NoobDev6833
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
11,2023-04-16T14:52:14,2023-04-16T15:22:43,BlissRom,,12L,"GApps, Vanilla, Unofficial, Official","https://mega.nz/folder/MyB3EIhS#ElR1WmV3zXU6hCMsg84qnQ, https://mega.nz/folder/8qowVDKb#_gAwMw5nBzQXoDpP9L8yoA",photos/photo_4@16-04-2023_14-52-14.jpg,,,,@m929_official and MT6833 Development,"#BlissRom #Unofficial #S #ROM #Camellia #OSS
BlissRom 15.8.5 by MegaFon929 UNOFFICIAL | Android 12L
Build: 16/04/2023

Changelog:
• First build

Bugs:
• You tell me

Notes:
• Flash with BlissROM Recovery

Installation guide:
Read this

Special thanks
@Rio113 for device tree 

Download:
GAPPS: Mega.nz
Vanilla: Mega.nz

By @m929_official and MT6833 Development"
14,2023-05-09T17:44:02,2023-05-09T18:36:33,xdroidOS,,12L,"Unofficial, Official",https://sourceforge.net/projects/camellia-xdroid/files/Test/,photos/photo_5@09-05-2023_17-44-02.jpg,,,,@ramshell688,"#xdroidOSS #Unofficial #ROM #S #Camellia
xdroidOSS r17 - UNOFFICIAL | Android 12L
Released: 08/05/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing Steps

Changelog:
• Initial build

Bugs:
• In about phone, saved network not showing
• You tell me

Notes:
• Flash with PixelExperience Recovery

Special thanks:
@Rio113 for device tree
Mt6833 Development

By @ramshell688
Follow @PocoM3ProUpdates 🍻
Join @PocoM3ProOfficial 🍻"
15,2023-05-11T11:49:46,2023-05-17T23:03:27,xdroidOSS r,17,12L,"Unofficial, Official",https://sourceforge.net/projects/camellia-xdroid/files/Test/,,,,,,"xdroidOSS r17 - UNOFFICIAL | Android 12L
Updated: 10/05/2023

▪️ Download

Changelog:
• Removing InfoFps on the tile didn't work
• Added preference item for mobile plan"
16,2023-05-26T23:05:30,2023-05-30T18:56:02,PixelExperience,,12L,"Unofficial, Official",https://sourceforge.net/projects/camellia-builds/files/Release/,photos/photo_1@08-04-2023_12-38-00.jpg,,,,@rio113,"#PEPlus #Unofficial #ROM #Camellia #Camellian #S #OSS 
PixelExperience Plus - UNOFFICIAL | Android 12L | Final Release 
Released: 26/05/2023
Kernel Source: Prebuilt

▪️ Download
▪️ XDA
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ Fixed dynamic display
▪️ Implemented a new power hal
▪️ Added refresh rate per-app control
▪️ Various under the hood optimisations

Notes:
• Flash from PE Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
17,2023-06-02T11:41:45,2023-06-02T11:55:41,xdroidOS,,12L,"Unofficial, Official",https://sourceforge.net/projects/camellia-xdroid/files/Release/,photos/photo_7@02-06-2023_11-41-45.jpg,,,,@ramshell688,"#xdroidOSS #Unofficial #ROM #S #Camellia
xdroidOSS r17 - UNOFFICIAL | Android 12L
Updated: 01/06/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing steps

Changelog:
• Added App refresh rate in display
• Added refresh rate in toggle settings
• Added data usage in settings
• Added new boot animation ;)
• etc.

Bugs:
• You tell me

Notes:
• Flash with PixelExperience Recovery​

Special thanks
@Rio113 for device tree
Mt6833 Development

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
18,2023-06-09T17:55:07,2023-06-09T18:02:30,PixelExperience,,13,"Unofficial, Official",https://sourceforge.net/projects/camellia-builds/files/Release/,photos/photo_1@08-04-2023_12-38-00.jpg,,,,@rio113,"#PEPlus #Unofficial #ROM #Camellia #Camellian #T #OSS 
PixelExperience Plus - UNOFFICIAL | Android 13
Released: 09/06/2023
Kernel Source: Prebuilt

▪️ Download
▪️ XDA
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ Initial A13 build

Known issues:
▪️ Bluetooth audio randomly disconnects

Notes:
• Flash from PE Recovery
• Clean flash is recommended

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
19,2023-06-10T23:45:52,2023-06-11T00:00:46,xtended,,13,"Unofficial, Official","https://mega.nz/folder/xFMjQJjY#ZebPc90JfOa5aOIvy-MvuQ, https://mega.nz/file/kUcVWLIQ#Vnnyd1JYo1KzJAfR7Ij7nyFk-vN586myumSY95QwZQY",photos/photo_9@10-06-2023_23-45-52.jpg,,,,@ramshell688,"#PixelExtended #Unofficial #ROM #T #Camellia #Camellian
Pixel Extended 5.8 - UNOFFICIAL | Android 13
Released: 10/06/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Initial build

Bugs:
• Boot animation lags
• You tell me

Notes:
• Flash with PixelExperience Recovery​

Special thanks
@Rio113 for device tree
Mt6833 Development

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
